Iteration 0 | Training Accuracy 0.1000 | Time: 1558007063.4509375
Iteration 0 | Training Accuracy 0.1000 | Best Validation Accuracy 0.1867 | Time: 1558007175.9694362
Avg. Train Accuracy: 0.1
Avg. Validation Accuracy: 0.18666666666666668
Iteration 1 | Training Accuracy 0.1133 | Time: 1558007177.0475686
Iteration 2 | Training Accuracy 0.0933 | Time: 1558007178.333962
Iteration 3 | Training Accuracy 0.1200 | Time: 1558007179.5238857
Iteration 4 | Training Accuracy 0.0867 | Time: 1558007180.848073
Iteration 5 | Training Accuracy 0.0667 | Time: 1558007181.997873
Iteration 6 | Training Accuracy 0.0933 | Time: 1558007183.1570685
Iteration 7 | Training Accuracy 0.1400 | Time: 1558007184.3717227
Iteration 8 | Training Accuracy 0.0600 | Time: 1558007185.629449
Iteration 9 | Training Accuracy 0.0933 | Time: 1558007186.639351
Iteration 10 | Training Accuracy 0.1067 | Time: 1558007187.862756
Iteration 11 | Training Accuracy 0.0533 | Time: 1558007189.207272
Iteration 12 | Training Accuracy 0.1133 | Time: 1558007190.33267
Iteration 13 | Training Accuracy 0.1133 | Time: 1558007191.489936
Iteration 14 | Training Accuracy 0.1267 | Time: 1558007192.7802143
Iteration 15 | Training Accuracy 0.0733 | Time: 1558007194.2332227
Iteration 16 | Training Accuracy 0.0933 | Time: 1558007195.4042335
Iteration 17 | Training Accuracy 0.1667 | Time: 1558007196.8564243
Iteration 18 | Training Accuracy 0.1067 | Time: 1558007198.0988748
Iteration 19 | Training Accuracy 0.1267 | Time: 1558007199.1984272
Iteration 20 | Training Accuracy 0.1000 | Time: 1558007200.4339993
Iteration 21 | Training Accuracy 0.0867 | Time: 1558007201.6264918
Iteration 22 | Training Accuracy 0.0867 | Time: 1558007202.9432309
Iteration 23 | Training Accuracy 0.1333 | Time: 1558007204.3984284
Iteration 24 | Training Accuracy 0.0800 | Time: 1558007205.8031492
Iteration 25 | Training Accuracy 0.0400 | Time: 1558007207.3818045
Iteration 26 | Training Accuracy 0.0733 | Time: 1558007208.6710348
Iteration 27 | Training Accuracy 0.1467 | Time: 1558007210.0083463
Iteration 28 | Training Accuracy 0.0800 | Time: 1558007211.34149
Iteration 29 | Training Accuracy 0.1067 | Time: 1558007212.7430053
Iteration 30 | Training Accuracy 0.0800 | Time: 1558007213.943081
Iteration 31 | Training Accuracy 0.0933 | Time: 1558007215.23658
Iteration 32 | Training Accuracy 0.1800 | Time: 1558007216.4661484
Iteration 33 | Training Accuracy 0.1067 | Time: 1558007217.694549
Iteration 34 | Training Accuracy 0.1000 | Time: 1558007218.9966912
Iteration 35 | Training Accuracy 0.1267 | Time: 1558007220.1385481
Iteration 36 | Training Accuracy 0.1067 | Time: 1558007221.4511275
Iteration 37 | Training Accuracy 0.1200 | Time: 1558007223.0136757
Iteration 38 | Training Accuracy 0.0800 | Time: 1558007224.342909
Iteration 39 | Training Accuracy 0.1200 | Time: 1558007225.6075525
Iteration 40 | Training Accuracy 0.1067 | Time: 1558007226.9034164
Iteration 41 | Training Accuracy 0.1600 | Time: 1558007228.0637436
Iteration 42 | Training Accuracy 0.1267 | Time: 1558007229.285799
Iteration 43 | Training Accuracy 0.1200 | Time: 1558007230.4862638
Iteration 44 | Training Accuracy 0.1067 | Time: 1558007231.6536372
Iteration 45 | Training Accuracy 0.1467 | Time: 1558007232.8332124
Iteration 46 | Training Accuracy 0.0800 | Time: 1558007234.2290468
Iteration 47 | Training Accuracy 0.1133 | Time: 1558007235.4479835
Iteration 48 | Training Accuracy 0.1067 | Time: 1558007236.621705
Iteration 49 | Training Accuracy 0.1067 | Time: 1558007237.7889423
Iteration 50 | Training Accuracy 0.0867 | Time: 1558007238.9906378
Iteration 51 | Training Accuracy 0.1200 | Time: 1558007240.1828969
Iteration 52 | Training Accuracy 0.0933 | Time: 1558007241.3175483
Iteration 53 | Training Accuracy 0.0800 | Time: 1558007242.607108
Iteration 54 | Training Accuracy 0.0667 | Time: 1558007243.7565358
Iteration 55 | Training Accuracy 0.0800 | Time: 1558007245.177897
Iteration 56 | Training Accuracy 0.1267 | Time: 1558007246.3318722
Iteration 57 | Training Accuracy 0.1067 | Time: 1558007247.7009335
Iteration 58 | Training Accuracy 0.0533 | Time: 1558007248.7958412
Iteration 59 | Training Accuracy 0.1467 | Time: 1558007249.9515164
Iteration 60 | Training Accuracy 0.0933 | Time: 1558007251.087314
Iteration 61 | Training Accuracy 0.1000 | Time: 1558007252.331517
