Iteration 0 | Training Accuracy 0.2400 | Time: 1557842469.348449
Iteration 0 | Training Accuracy 0.2400 | Best Validation Accuracy 0.3067 | Time: 1557842484.005142
Avg. Train Accuracy: 0.24
Avg. Validation Accuracy: 0.30666666666666664
Iteration 1 | Training Accuracy 0.0800 | Time: 1557842484.1633
Iteration 2 | Training Accuracy 0.1467 | Time: 1557842484.3694737
Iteration 3 | Training Accuracy 0.2000 | Time: 1557842484.5619535
Iteration 4 | Training Accuracy 0.2133 | Time: 1557842484.7455397
Iteration 5 | Training Accuracy 0.2000 | Time: 1557842484.9262526
Iteration 6 | Training Accuracy 0.1200 | Time: 1557842485.109593
Iteration 7 | Training Accuracy 0.2267 | Time: 1557842485.2739022
Iteration 8 | Training Accuracy 0.2133 | Time: 1557842485.496545
Iteration 9 | Training Accuracy 0.1733 | Time: 1557842485.6736352
Iteration 10 | Training Accuracy 0.1600 | Time: 1557842485.862606
Iteration 11 | Training Accuracy 0.2267 | Time: 1557842486.0500307
Iteration 12 | Training Accuracy 0.1600 | Time: 1557842486.2508545
Iteration 13 | Training Accuracy 0.2400 | Time: 1557842486.4623823
Iteration 14 | Training Accuracy 0.2800 | Time: 1557842486.6574233
Iteration 15 | Training Accuracy 0.1867 | Time: 1557842486.838491
Iteration 16 | Training Accuracy 0.0800 | Time: 1557842487.034348
Iteration 17 | Training Accuracy 0.2400 | Time: 1557842487.2291365
Iteration 18 | Training Accuracy 0.1733 | Time: 1557842487.4282951
Iteration 19 | Training Accuracy 0.2800 | Time: 1557842487.6510785
Iteration 20 | Training Accuracy 0.2800 | Time: 1557842487.8473716
Iteration 21 | Training Accuracy 0.2800 | Time: 1557842488.047589
Iteration 22 | Training Accuracy 0.2400 | Time: 1557842488.2660096
Iteration 23 | Training Accuracy 0.2133 | Time: 1557842488.4478698
Iteration 24 | Training Accuracy 0.2000 | Time: 1557842488.6441731
Iteration 25 | Training Accuracy 0.2000 | Time: 1557842488.8284595
Iteration 26 | Training Accuracy 0.2133 | Time: 1557842488.9935923
Iteration 27 | Training Accuracy 0.2267 | Time: 1557842489.1687055
Iteration 28 | Training Accuracy 0.2667 | Time: 1557842489.360608
Iteration 29 | Training Accuracy 0.2400 | Time: 1557842489.555485
Iteration 30 | Training Accuracy 0.2933 | Time: 1557842489.758696
Iteration 31 | Training Accuracy 0.1733 | Time: 1557842489.970784
Iteration 32 | Training Accuracy 0.1333 | Time: 1557842490.1793551
Iteration 33 | Training Accuracy 0.3200 | Time: 1557842490.3807766
Iteration 34 | Training Accuracy 0.1867 | Time: 1557842490.5504947
Iteration 35 | Training Accuracy 0.1333 | Time: 1557842490.7166762
Iteration 36 | Training Accuracy 0.1733 | Time: 1557842490.8710563
Iteration 37 | Training Accuracy 0.1867 | Time: 1557842491.0285294
Iteration 38 | Training Accuracy 0.2667 | Time: 1557842491.2031932
Iteration 39 | Training Accuracy 0.2400 | Time: 1557842491.3747723
Iteration 40 | Training Accuracy 0.2533 | Time: 1557842491.5453773
Iteration 41 | Training Accuracy 0.3200 | Time: 1557842491.7317696
Iteration 42 | Training Accuracy 0.2400 | Time: 1557842491.9074824
Iteration 43 | Training Accuracy 0.2133 | Time: 1557842492.087891
Iteration 44 | Training Accuracy 0.1600 | Time: 1557842492.255537
Iteration 45 | Training Accuracy 0.1733 | Time: 1557842492.4060864
Iteration 46 | Training Accuracy 0.1600 | Time: 1557842492.5808702
Iteration 47 | Training Accuracy 0.2133 | Time: 1557842492.738455
Iteration 48 | Training Accuracy 0.2400 | Time: 1557842492.8925629
Iteration 49 | Training Accuracy 0.1333 | Time: 1557842493.0532117
Iteration 50 | Training Accuracy 0.1867 | Time: 1557842493.2455776
Iteration 51 | Training Accuracy 0.2133 | Time: 1557842493.4151456
Iteration 52 | Training Accuracy 0.2533 | Time: 1557842493.6153684
Iteration 53 | Training Accuracy 0.1867 | Time: 1557842493.801548
Iteration 54 | Training Accuracy 0.1733 | Time: 1557842494.0118582
Iteration 55 | Training Accuracy 0.2133 | Time: 1557842494.2071657
Iteration 56 | Training Accuracy 0.1067 | Time: 1557842494.4235802
Iteration 57 | Training Accuracy 0.1733 | Time: 1557842494.6017807
Iteration 58 | Training Accuracy 0.0933 | Time: 1557842494.8233678
Iteration 59 | Training Accuracy 0.1600 | Time: 1557842495.028764
Iteration 60 | Training Accuracy 0.2000 | Time: 1557842495.2321188
Iteration 61 | Training Accuracy 0.1333 | Time: 1557842495.4344485
Iteration 62 | Training Accuracy 0.1867 | Time: 1557842495.6340108
Iteration 63 | Training Accuracy 0.1333 | Time: 1557842495.8467705
Iteration 64 | Training Accuracy 0.1733 | Time: 1557842496.067534
Iteration 65 | Training Accuracy 0.1867 | Time: 1557842496.2884543
Iteration 66 | Training Accuracy 0.1867 | Time: 1557842496.4785573
Iteration 67 | Training Accuracy 0.2267 | Time: 1557842496.6811686
Iteration 68 | Training Accuracy 0.2267 | Time: 1557842496.8734467
Iteration 69 | Training Accuracy 0.2533 | Time: 1557842497.0448935
Iteration 70 | Training Accuracy 0.1067 | Time: 1557842497.2484982
Iteration 71 | Training Accuracy 0.1733 | Time: 1557842497.4436731
Iteration 72 | Training Accuracy 0.2267 | Time: 1557842497.630668
Iteration 73 | Training Accuracy 0.3067 | Time: 1557842497.8110776
Iteration 74 | Training Accuracy 0.1733 | Time: 1557842497.9971623
Iteration 75 | Training Accuracy 0.1733 | Time: 1557842498.1864152
Iteration 76 | Training Accuracy 0.1867 | Time: 1557842498.3750384
Iteration 77 | Training Accuracy 0.1867 | Time: 1557842498.6004589
Iteration 78 | Training Accuracy 0.2267 | Time: 1557842498.769241
Iteration 79 | Training Accuracy 0.1333 | Time: 1557842498.9671705
Iteration 80 | Training Accuracy 0.2933 | Time: 1557842499.1739929
Iteration 81 | Training Accuracy 0.1600 | Time: 1557842499.3670254
Iteration 82 | Training Accuracy 0.2267 | Time: 1557842499.5422583
Iteration 83 | Training Accuracy 0.2133 | Time: 1557842499.717845
Iteration 84 | Training Accuracy 0.2000 | Time: 1557842499.8961856
Iteration 85 | Training Accuracy 0.2533 | Time: 1557842500.0688617
Iteration 86 | Training Accuracy 0.2400 | Time: 1557842500.263183
Iteration 87 | Training Accuracy 0.1600 | Time: 1557842500.4457636
Iteration 88 | Training Accuracy 0.1467 | Time: 1557842500.6384106
Iteration 89 | Training Accuracy 0.1600 | Time: 1557842500.8278244
Iteration 90 | Training Accuracy 0.2133 | Time: 1557842501.0579863
Iteration 91 | Training Accuracy 0.2000 | Time: 1557842501.2873638
Iteration 92 | Training Accuracy 0.2133 | Time: 1557842501.4820747
Iteration 93 | Training Accuracy 0.1333 | Time: 1557842501.6695702
Iteration 94 | Training Accuracy 0.1600 | Time: 1557842501.8429248
Iteration 95 | Training Accuracy 0.2267 | Time: 1557842502.0362027
Iteration 96 | Training Accuracy 0.2533 | Time: 1557842502.2309296
Iteration 97 | Training Accuracy 0.2133 | Time: 1557842502.4014888
Iteration 98 | Training Accuracy 0.2667 | Time: 1557842502.5738914
Iteration 99 | Training Accuracy 0.2933 | Time: 1557842502.7389307
Iteration 100 | Training Accuracy 0.1867 | Time: 1557842502.9000394
Iteration 101 | Training Accuracy 0.2000 | Time: 1557842503.0569813
Iteration 102 | Training Accuracy 0.1733 | Time: 1557842503.2150052
Iteration 103 | Training Accuracy 0.3200 | Time: 1557842503.3525913
Iteration 104 | Training Accuracy 0.2533 | Time: 1557842503.514954
Iteration 105 | Training Accuracy 0.1733 | Time: 1557842503.674068
Iteration 106 | Training Accuracy 0.3067 | Time: 1557842503.8428588
Iteration 107 | Training Accuracy 0.1467 | Time: 1557842504.0086465
Iteration 108 | Training Accuracy 0.1600 | Time: 1557842504.1582718
Iteration 109 | Training Accuracy 0.1467 | Time: 1557842504.3377147
Iteration 110 | Training Accuracy 0.2000 | Time: 1557842504.5052714
Iteration 111 | Training Accuracy 0.1867 | Time: 1557842504.662071
Iteration 112 | Training Accuracy 0.1867 | Time: 1557842504.8232532
Iteration 113 | Training Accuracy 0.1600 | Time: 1557842505.0073519
Iteration 114 | Training Accuracy 0.1733 | Time: 1557842505.1907296
Iteration 115 | Training Accuracy 0.1600 | Time: 1557842505.380878
Iteration 116 | Training Accuracy 0.2400 | Time: 1557842505.5927496
Iteration 117 | Training Accuracy 0.1200 | Time: 1557842505.7784972
Iteration 118 | Training Accuracy 0.2400 | Time: 1557842505.9993083
Iteration 119 | Training Accuracy 0.2267 | Time: 1557842506.2026634
Iteration 120 | Training Accuracy 0.2533 | Time: 1557842506.38474
Iteration 121 | Training Accuracy 0.2267 | Time: 1557842506.5562294
Iteration 122 | Training Accuracy 0.2267 | Time: 1557842506.7507133
Iteration 123 | Training Accuracy 0.1867 | Time: 1557842506.9456203
Iteration 124 | Training Accuracy 0.2133 | Time: 1557842507.1733935
Iteration 125 | Training Accuracy 0.2000 | Time: 1557842507.4044375
Iteration 126 | Training Accuracy 0.1867 | Time: 1557842507.5904155
Iteration 127 | Training Accuracy 0.2000 | Time: 1557842507.7995827
Iteration 128 | Training Accuracy 0.2400 | Time: 1557842507.9895263
Iteration 129 | Training Accuracy 0.2133 | Time: 1557842508.1767066
Iteration 130 | Training Accuracy 0.2133 | Time: 1557842508.3576076
Iteration 131 | Training Accuracy 0.2667 | Time: 1557842508.5336835
Iteration 132 | Training Accuracy 0.2133 | Time: 1557842508.7145324
Iteration 133 | Training Accuracy 0.3067 | Time: 1557842508.912447
Iteration 134 | Training Accuracy 0.2267 | Time: 1557842509.1208766
Iteration 135 | Training Accuracy 0.2533 | Time: 1557842509.2954197
Iteration 136 | Training Accuracy 0.2933 | Time: 1557842509.4866943
Iteration 137 | Training Accuracy 0.2267 | Time: 1557842509.6571646
Iteration 138 | Training Accuracy 0.2533 | Time: 1557842509.8373106
Iteration 139 | Training Accuracy 0.1867 | Time: 1557842510.009178
Iteration 140 | Training Accuracy 0.1733 | Time: 1557842510.194278
Iteration 141 | Training Accuracy 0.1733 | Time: 1557842510.3532069
Iteration 142 | Training Accuracy 0.2533 | Time: 1557842510.4951975
Iteration 143 | Training Accuracy 0.2000 | Time: 1557842510.649635
Iteration 144 | Training Accuracy 0.2267 | Time: 1557842510.792003
Iteration 145 | Training Accuracy 0.2800 | Time: 1557842510.9122121
