Iteration 0 | Training Accuracy 0.1067 | Time: 1557835173.4353762
Iteration 0 | Training Accuracy 0.1067 | Best Validation Accuracy 0.1267 | Time: 1557835256.1617682
Avg. Train Accuracy: 0.10666666666666667
Avg. Validation Accuracy: 0.12666666666666668
Iteration 1 | Training Accuracy 0.1200 | Time: 1557835256.9770093
Iteration 2 | Training Accuracy 0.1400 | Time: 1557835258.021181
Iteration 3 | Training Accuracy 0.0733 | Time: 1557835259.1631103
Iteration 4 | Training Accuracy 0.1600 | Time: 1557835260.196398
Iteration 5 | Training Accuracy 0.1000 | Time: 1557835261.3293166
Iteration 6 | Training Accuracy 0.1200 | Time: 1557835262.3329058
Iteration 7 | Training Accuracy 0.1267 | Time: 1557835263.3370554
Iteration 8 | Training Accuracy 0.0600 | Time: 1557835264.250365
Iteration 9 | Training Accuracy 0.1467 | Time: 1557835265.0448349
Iteration 10 | Training Accuracy 0.1133 | Time: 1557835265.7860048
Iteration 11 | Training Accuracy 0.0867 | Time: 1557835266.6939957
Iteration 12 | Training Accuracy 0.1267 | Time: 1557835267.6779056
Iteration 13 | Training Accuracy 0.0933 | Time: 1557835268.744611
Iteration 14 | Training Accuracy 0.1333 | Time: 1557835269.9136133
Iteration 15 | Training Accuracy 0.0800 | Time: 1557835270.8938963
Iteration 16 | Training Accuracy 0.0933 | Time: 1557835271.5514448
Iteration 17 | Training Accuracy 0.1067 | Time: 1557835272.3547206
Iteration 18 | Training Accuracy 0.1800 | Time: 1557835273.1856327
Iteration 19 | Training Accuracy 0.1333 | Time: 1557835274.0973547
Iteration 20 | Training Accuracy 0.1133 | Time: 1557835274.919434
Iteration 21 | Training Accuracy 0.1133 | Time: 1557835275.909545
Iteration 22 | Training Accuracy 0.1467 | Time: 1557835276.6556315
Iteration 23 | Training Accuracy 0.1533 | Time: 1557835277.63661
Iteration 24 | Training Accuracy 0.1667 | Time: 1557835278.5638566
Iteration 25 | Training Accuracy 0.1000 | Time: 1557835279.7166746
Iteration 26 | Training Accuracy 0.1267 | Time: 1557835280.7397451
Iteration 27 | Training Accuracy 0.1333 | Time: 1557835281.7757535
Iteration 28 | Training Accuracy 0.1467 | Time: 1557835282.6782143
Iteration 29 | Training Accuracy 0.1067 | Time: 1557835283.5682395
Iteration 30 | Training Accuracy 0.1667 | Time: 1557835284.6248326
Iteration 31 | Training Accuracy 0.0867 | Time: 1557835285.6924877
Iteration 32 | Training Accuracy 0.1533 | Time: 1557835286.8996885
Iteration 33 | Training Accuracy 0.0800 | Time: 1557835288.3152816
Iteration 34 | Training Accuracy 0.1267 | Time: 1557835289.4456673
Iteration 35 | Training Accuracy 0.0867 | Time: 1557835290.58609
Iteration 36 | Training Accuracy 0.1067 | Time: 1557835291.697692
Iteration 37 | Training Accuracy 0.0533 | Time: 1557835293.0076263
Iteration 38 | Training Accuracy 0.0933 | Time: 1557835293.9859784
Iteration 39 | Training Accuracy 0.0867 | Time: 1557835294.9186056
Iteration 40 | Training Accuracy 0.1000 | Time: 1557835295.8577409
Iteration 41 | Training Accuracy 0.1533 | Time: 1557835296.7823215
Iteration 42 | Training Accuracy 0.1267 | Time: 1557835297.9933813
Iteration 43 | Training Accuracy 0.0867 | Time: 1557835299.0474458
Iteration 44 | Training Accuracy 0.1200 | Time: 1557835300.162848
Iteration 45 | Training Accuracy 0.1200 | Time: 1557835301.212308
Iteration 46 | Training Accuracy 0.1267 | Time: 1557835302.3609793
Iteration 47 | Training Accuracy 0.1400 | Time: 1557835303.3911793
Iteration 48 | Training Accuracy 0.0933 | Time: 1557835304.154312
Iteration 49 | Training Accuracy 0.1000 | Time: 1557835305.1018655
Iteration 50 | Training Accuracy 0.0933 | Time: 1557835306.136403
Iteration 51 | Training Accuracy 0.1200 | Time: 1557835307.2041245
Iteration 52 | Training Accuracy 0.0600 | Time: 1557835308.2146392
